NACA 24012                                      
 Alfa =  23.25000 Re = 19899914.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.25783
   0.99384  0.00229 -0.25957
   0.98305  0.00407 -0.26265
   0.97039  0.00614 -0.26632
   0.95615  0.00843 -0.27052
   0.94082  0.01087 -0.27515
   0.92486  0.01337 -0.28008
   0.90856  0.01587 -0.28526
   0.89209  0.01837 -0.29063
   0.87554  0.02084 -0.29620
   0.85895  0.02328 -0.30195
   0.84232  0.02568 -0.30789
   0.82569  0.02805 -0.31404
   0.80904  0.03038 -0.32040
   0.79238  0.03268 -0.32698
   0.77572  0.03494 -0.33381
   0.75905  0.03716 -0.34090
   0.74238  0.03935 -0.34826
   0.72571  0.04150 -0.35592
   0.70904  0.04361 -0.36389
   0.69237  0.04568 -0.37220
   0.67570  0.04772 -0.38088
   0.65904  0.04971 -0.38994
   0.64237  0.05166 -0.39943
   0.62572  0.05357 -0.40937
   0.60907  0.05544 -0.41980
   0.59243  0.05726 -0.43075
   0.57580  0.05903 -0.44227
   0.55918  0.06075 -0.45441
   0.54258  0.06241 -0.46720
   0.52598  0.06403 -0.48069
   0.50941  0.06558 -0.49494
   0.49285  0.06708 -0.51000
   0.47632  0.06851 -0.52592
   0.45980  0.06988 -0.54274
   0.44331  0.07118 -0.56050
   0.42684  0.07240 -0.57923
   0.41041  0.07355 -0.59895
   0.39401  0.07461 -0.61968
   0.37764  0.07559 -0.64139
   0.36131  0.07648 -0.66401
   0.34503  0.07727 -0.68733
   0.32881  0.07796 -0.71101
   0.31266  0.07854 -0.73429
   0.29660  0.07901 -0.75430
   0.28069  0.07935 -0.75022
   0.26498  0.07956 -0.83411
   0.24951  0.07959 -0.98576
   0.23431  0.07943 -1.17807
   0.21936  0.07905 -1.38824
   0.20469  0.07843 -1.60435
   0.19029  0.07755 -1.82236
   0.17617  0.07639 -2.04238
   0.16235  0.07495 -2.26682
   0.14884  0.07320 -2.49621
   0.13566  0.07115 -2.73201
   0.12286  0.06879 -2.97568
   0.11046  0.06612 -3.22840
   0.09855  0.06315 -3.49238
   0.08719  0.05993 -3.76878
   0.07649  0.05649 -4.05975
   0.06655  0.05289 -4.36608
   0.05746  0.04922 -4.69057
   0.04929  0.04556 -5.03342
   0.04204  0.04198 -5.39453
   0.03569  0.03853 -5.77763
   0.03017  0.03524 -6.18358
   0.02538  0.03213 -6.61359
   0.02123  0.02919 -7.06861
   0.01763  0.02641 -7.55754
   0.01450  0.02377 -8.07755
   0.01179  0.02127 -8.62687
   0.00943  0.01887 -9.22182
   0.00739  0.01656 -9.83725
   0.00564  0.01433-10.45904
   0.00414  0.01217-11.10282
   0.00288  0.01006-12.17997
   0.00186  0.00801-12.66382
   0.00106  0.00600-13.19428
   0.00049  0.00404-13.61528
   0.00014  0.00212-13.79791
   0.00000  0.00028-13.68945
   0.00008 -0.00154-13.30522
   0.00039 -0.00339-12.47851
   0.00098 -0.00524-11.16537
   0.00185 -0.00706 -9.46389
   0.00302 -0.00881 -7.59035
   0.00448 -0.01047 -5.81319
   0.00623 -0.01204 -4.26965
   0.00824 -0.01352 -3.01055
   0.01054 -0.01491 -2.02128
   0.01313 -0.01623 -1.25060
   0.01604 -0.01749 -0.65881
   0.01932 -0.01870 -0.21002
   0.02302 -0.01987  0.13587
   0.02724 -0.02101  0.39771
   0.03207 -0.02213  0.59513
   0.03767 -0.02324  0.74200
   0.04422 -0.02435  0.84890
   0.05194 -0.02546  0.92240
   0.06105 -0.02658  0.96888
   0.07173 -0.02771  0.99320
   0.08403 -0.02884  0.99999
   0.09781 -0.02995  0.99382
   0.11276 -0.03105  0.97889
   0.12853 -0.03214  0.95850
   0.14480 -0.03320  0.93502
   0.16135 -0.03425  0.90963
   0.17803 -0.03528  0.88364
   0.19474 -0.03627  0.85682
   0.21141 -0.03723  0.82992
   0.22801 -0.03813  0.80311
   0.24452 -0.03897  0.77628
   0.26092 -0.03973  0.74949
   0.27723 -0.04038  0.72337
   0.29346 -0.04093  0.69808
   0.30966 -0.04135  0.67402
   0.32588 -0.04167  0.65101
   0.34214 -0.04187  0.62876
   0.35845 -0.04198  0.60756
   0.37480 -0.04199  0.58650
   0.39118 -0.04191  0.56657
   0.40761 -0.04174  0.54698
   0.42408 -0.04150  0.52806
   0.44057 -0.04117  0.50960
   0.45710 -0.04078  0.49149
   0.47366 -0.04031  0.47428
   0.49024 -0.03978  0.45699
   0.50684 -0.03919  0.43992
   0.52347 -0.03853  0.42386
   0.54012 -0.03782  0.40732
   0.55678 -0.03705  0.39161
   0.57346 -0.03624  0.37553
   0.59016 -0.03537  0.35993
   0.60686 -0.03445  0.34462
   0.62358 -0.03349  0.32903
   0.64031 -0.03248  0.31380
   0.65704 -0.03143  0.29829
   0.67379 -0.03033  0.28290
   0.69054 -0.02920  0.26762
   0.70729 -0.02802  0.25187
   0.72404 -0.02681  0.23619
   0.74080 -0.02556  0.22059
   0.75756 -0.02427  0.20372
   0.77432 -0.02294  0.18775
   0.79107 -0.02157  0.17048
   0.80782 -0.02017  0.15358
   0.82456 -0.01873  0.13515
   0.84130 -0.01726  0.11710
   0.85802 -0.01575  0.09737
   0.87472 -0.01420  0.07700
   0.89137 -0.01261  0.05562
   0.90794 -0.01100  0.03269
   0.92435 -0.00936  0.00768
   0.94041 -0.00772 -0.01868
   0.95584 -0.00610 -0.04921
   0.97018 -0.00456 -0.07973
   0.98293 -0.00317 -0.11647
   0.99380 -0.00196 -0.14116
   1.00000 -0.00126 -0.25783
