NACA 24012                                      
 Alfa =  21.75000 Re = 19899914.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.16055
   0.99384  0.00229 -0.16274
   0.98305  0.00407 -0.16661
   0.97039  0.00614 -0.17122
   0.95615  0.00843 -0.17652
   0.94082  0.01087 -0.18236
   0.92486  0.01337 -0.18861
   0.90856  0.01587 -0.19518
   0.89209  0.01837 -0.20201
   0.87554  0.02084 -0.20910
   0.85895  0.02328 -0.21644
   0.84232  0.02568 -0.22403
   0.82569  0.02805 -0.23189
   0.80904  0.03038 -0.24002
   0.79238  0.03268 -0.24844
   0.77572  0.03494 -0.25716
   0.75905  0.03716 -0.26620
   0.74238  0.03935 -0.27557
   0.72571  0.04150 -0.28529
   0.70904  0.04361 -0.29536
   0.69237  0.04568 -0.30581
   0.67570  0.04772 -0.31664
   0.65904  0.04971 -0.32786
   0.64237  0.05166 -0.33947
   0.62572  0.05357 -0.35146
   0.60907  0.05544 -0.36382
   0.59243  0.05726 -0.37653
   0.57580  0.05903 -0.38956
   0.55918  0.06075 -0.40286
   0.54258  0.06241 -0.41634
   0.52598  0.06403 -0.42988
   0.50941  0.06558 -0.44319
   0.49285  0.06708 -0.45554
   0.47632  0.06851 -0.46426
   0.45980  0.06988 -0.45822
   0.44331  0.07118 -0.48796
   0.42684  0.07240 -0.53813
   0.41041  0.07355 -0.60433
   0.39401  0.07461 -0.68335
   0.37764  0.07559 -0.77208
   0.36131  0.07648 -0.86796
   0.34503  0.07727 -0.96956
   0.32881  0.07796 -1.07620
   0.31266  0.07854 -1.18889
   0.29660  0.07901 -1.30835
   0.28069  0.07935 -1.43810
   0.26498  0.07956 -1.57843
   0.24951  0.07959 -1.72933
   0.23431  0.07943 -1.88908
   0.21936  0.07905 -2.05839
   0.20469  0.07843 -2.23681
   0.19029  0.07755 -2.42385
   0.17617  0.07639 -2.61956
   0.16235  0.07495 -2.82556
   0.14884  0.07320 -3.03941
   0.13566  0.07115 -3.26383
   0.12286  0.06879 -3.49883
   0.11046  0.06612 -3.74587
   0.09855  0.06315 -4.00423
   0.08719  0.05993 -4.27901
   0.07649  0.05649 -4.56919
   0.06655  0.05289 -4.87740
   0.05746  0.04922 -5.20572
   0.04929  0.04556 -5.55577
   0.04204  0.04198 -5.92612
   0.03569  0.03853 -6.32025
   0.03017  0.03524 -6.74061
   0.02538  0.03213 -7.18598
   0.02123  0.02919 -7.66239
   0.01763  0.02641 -8.17027
   0.01450  0.02377 -8.71797
   0.01179  0.02127 -9.29021
   0.00943  0.01887 -9.91318
   0.00739  0.01656-10.56244
   0.00564  0.01433-11.21949
   0.00414  0.01217-11.89485
   0.00288  0.01006-13.01506
   0.00186  0.00801-13.52940
   0.00106  0.00600-14.09833
   0.00049  0.00404-14.53607
   0.00014  0.00212-14.72232
   0.00000  0.00028-14.60647
   0.00008 -0.00154-14.18332
   0.00039 -0.00339-13.32463
   0.00098 -0.00524-11.92987
   0.00185 -0.00706-10.10782
   0.00302 -0.00881 -8.13553
   0.00448 -0.01047 -6.24821
   0.00623 -0.01204 -4.61155
   0.00824 -0.01352 -3.27533
   0.01054 -0.01491 -2.22213
   0.01313 -0.01623 -1.40665
   0.01604 -0.01749 -0.77979
   0.01932 -0.01870 -0.29842
   0.02302 -0.01987  0.06624
   0.02724 -0.02101  0.34724
   0.03207 -0.02213  0.55821
   0.03767 -0.02324  0.71569
   0.04422 -0.02435  0.83070
   0.05194 -0.02546  0.91110
   0.06105 -0.02658  0.96233
   0.07173 -0.02771  0.99039
   0.08403 -0.02884  0.99987
   0.09781 -0.02995  0.99567
   0.11276 -0.03105  0.98214
   0.12853 -0.03214  0.96290
   0.14480 -0.03320  0.94019
   0.16135 -0.03425  0.91566
   0.17803 -0.03528  0.89020
   0.19474 -0.03627  0.86411
   0.21141 -0.03723  0.83787
   0.22801 -0.03813  0.81174
   0.24452 -0.03897  0.78548
   0.26092 -0.03973  0.75947
   0.27723 -0.04038  0.73409
   0.29346 -0.04093  0.70947
   0.30966 -0.04135  0.68619
   0.32588 -0.04167  0.66379
   0.34214 -0.04187  0.64241
   0.35845 -0.04198  0.62193
   0.37480 -0.04199  0.60153
   0.39118 -0.04191  0.58262
   0.40761 -0.04174  0.56368
   0.42408 -0.04150  0.54571
   0.44057 -0.04117  0.52804
   0.45710 -0.04078  0.51092
   0.47366 -0.04031  0.49459
   0.49024 -0.03978  0.47823
   0.50684 -0.03919  0.46221
   0.52347 -0.03853  0.44716
   0.54012 -0.03782  0.43169
   0.55678 -0.03705  0.41704
   0.57346 -0.03624  0.40212
   0.59016 -0.03537  0.38764
   0.60686 -0.03445  0.37361
   0.62358 -0.03349  0.35925
   0.64031 -0.03248  0.34535
   0.65704 -0.03143  0.33116
   0.67379 -0.03033  0.31722
   0.69054 -0.02920  0.30342
   0.70729 -0.02802  0.28922
   0.72404 -0.02681  0.27510
   0.74080 -0.02556  0.26124
   0.75756 -0.02427  0.24612
   0.77432 -0.02294  0.23203
   0.79107 -0.02157  0.21671
   0.80782 -0.02017  0.20189
   0.82456 -0.01873  0.18566
   0.84130 -0.01726  0.16990
   0.85802 -0.01575  0.15272
   0.87472 -0.01420  0.13495
   0.89137 -0.01261  0.11644
   0.90794 -0.01100  0.09658
   0.92435 -0.00936  0.07490
   0.94041 -0.00772  0.05209
   0.95584 -0.00610  0.02541
   0.97018 -0.00456 -0.00112
   0.98293 -0.00317 -0.03348
   0.99380 -0.00196 -0.05589
   1.00000 -0.00126 -0.16055
