NACA 24012                                      
 Alfa =  24.00000 Re = 19899914.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.29896
   0.99384  0.00229 -0.30054
   0.98305  0.00407 -0.30335
   0.97039  0.00614 -0.30669
   0.95615  0.00843 -0.31050
   0.94082  0.01087 -0.31470
   0.92486  0.01337 -0.31916
   0.90856  0.01587 -0.32384
   0.89209  0.01837 -0.32868
   0.87554  0.02084 -0.33369
   0.85895  0.02328 -0.33885
   0.84232  0.02568 -0.34417
   0.82569  0.02805 -0.34966
   0.80904  0.03038 -0.35533
   0.79238  0.03268 -0.36118
   0.77572  0.03494 -0.36724
   0.75905  0.03716 -0.37351
   0.74238  0.03935 -0.38001
   0.72571  0.04150 -0.38676
   0.70904  0.04361 -0.39376
   0.69237  0.04568 -0.40105
   0.67570  0.04772 -0.40864
   0.65904  0.04971 -0.41655
   0.64237  0.05166 -0.42481
   0.62572  0.05357 -0.43345
   0.60907  0.05544 -0.44250
   0.59243  0.05726 -0.45199
   0.57580  0.05903 -0.46196
   0.55918  0.06075 -0.47246
   0.54258  0.06241 -0.48353
   0.52598  0.06403 -0.49521
   0.50941  0.06558 -0.50757
   0.49285  0.06708 -0.52068
   0.47632  0.06851 -0.53458
   0.45980  0.06988 -0.54937
   0.44331  0.07118 -0.56511
   0.42684  0.07240 -0.58188
   0.41041  0.07355 -0.59975
   0.39401  0.07461 -0.61879
   0.37764  0.07559 -0.63906
   0.36131  0.07648 -0.66057
   0.34503  0.07727 -0.68331
   0.32881  0.07796 -0.70722
   0.31266  0.07854 -0.73222
   0.29660  0.07901 -0.75814
   0.28069  0.07935 -0.78460
   0.26498  0.07956 -0.81086
   0.24951  0.07959 -0.83462
   0.23431  0.07943 -0.83089
   0.21936  0.07905 -0.93832
   0.20469  0.07843 -1.14454
   0.19029  0.07755 -1.39500
   0.17617  0.07639 -1.65353
   0.16235  0.07495 -1.91030
   0.14884  0.07320 -2.16372
   0.13566  0.07115 -2.41784
   0.12286  0.06879 -2.67532
   0.11046  0.06612 -2.93891
   0.09855  0.06315 -3.21113
   0.08719  0.05993 -3.49264
   0.07649  0.05649 -3.78858
   0.06655  0.05289 -4.09752
   0.05746  0.04922 -4.42241
   0.04929  0.04556 -4.76451
   0.04204  0.04198 -5.12517
   0.03569  0.03853 -5.50299
   0.03017  0.03524 -5.90541
   0.02538  0.03213 -6.32953
   0.02123  0.02919 -6.77731
   0.01763  0.02641 -7.25653
   0.01450  0.02377 -7.76902
   0.01179  0.02127 -8.30888
   0.00943  0.01887 -8.88960
   0.00739  0.01656 -9.48980
   0.00564  0.01433-10.10701
   0.00414  0.01217-10.72784
   0.00288  0.01006-11.79729
   0.00186  0.00801-12.26211
   0.00106  0.00600-12.78576
   0.00049  0.00404-13.19657
   0.00014  0.00212-13.38332
   0.00000  0.00028-13.28245
   0.00008 -0.00154-12.91258
   0.00039 -0.00339-12.11649
   0.00098 -0.00524-10.84497
   0.00185 -0.00706 -9.17282
   0.00302 -0.00881 -7.37098
   0.00448 -0.01047 -5.63530
   0.00623 -0.01204 -4.12867
   0.00824 -0.01352 -2.90638
   0.01054 -0.01491 -1.93865
   0.01313 -0.01623 -1.19010
   0.01604 -0.01749 -0.61417
   0.01932 -0.01870 -0.17578
   0.02302 -0.01987  0.16098
   0.02724 -0.02101  0.41534
   0.03207 -0.02213  0.60814
   0.03767 -0.02324  0.75102
   0.04422 -0.02435  0.85464
   0.05194 -0.02546  0.92602
   0.06105 -0.02658  0.97082
   0.07173 -0.02771  0.99398
   0.08403 -0.02884  0.99995
   0.09781 -0.02995  0.99324
   0.11276 -0.03105  0.97795
   0.12853 -0.03214  0.95734
   0.14480 -0.03320  0.93359
   0.16135 -0.03425  0.90816
   0.17803 -0.03528  0.88182
   0.19474 -0.03627  0.85500
   0.21141 -0.03723  0.82781
   0.22801 -0.03813  0.80091
   0.24452 -0.03897  0.77369
   0.26092 -0.03973  0.74676
   0.27723 -0.04038  0.72042
   0.29346 -0.04093  0.69478
   0.30966 -0.04135  0.67053
   0.32588 -0.04167  0.64712
   0.34214 -0.04187  0.62475
   0.35845 -0.04198  0.60313
   0.37480 -0.04199  0.58173
   0.39118 -0.04191  0.56149
   0.40761 -0.04174  0.54158
   0.42408 -0.04150  0.52223
   0.44057 -0.04117  0.50343
   0.45710 -0.04078  0.48491
   0.47366 -0.04031  0.46735
   0.49024 -0.03978  0.44956
   0.50684 -0.03919  0.43211
   0.52347 -0.03853  0.41558
   0.54012 -0.03782  0.39854
   0.55678 -0.03705  0.38234
   0.57346 -0.03624  0.36585
   0.59016 -0.03537  0.34966
   0.60686 -0.03445  0.33383
   0.62358 -0.03349  0.31766
   0.64031 -0.03248  0.30187
   0.65704 -0.03143  0.28574
   0.67379 -0.03033  0.26977
   0.69054 -0.02920  0.25375
   0.70729 -0.02802  0.23740
   0.72404 -0.02681  0.22094
   0.74080 -0.02556  0.20471
   0.75756 -0.02427  0.18693
   0.77432 -0.02294  0.17024
   0.79107 -0.02157  0.15213
   0.80782 -0.02017  0.13427
   0.82456 -0.01873  0.11492
   0.84130 -0.01726  0.09583
   0.85802 -0.01575  0.07505
   0.87472 -0.01420  0.05352
   0.89137 -0.01261  0.03091
   0.90794 -0.01100  0.00667
   0.92435 -0.00936 -0.01978
   0.94041 -0.00772 -0.04771
   0.95584 -0.00610 -0.07992
   0.97018 -0.00456 -0.11214
   0.98293 -0.00317 -0.15082
   0.99380 -0.00196 -0.17677
   1.00000 -0.00126 -0.29896
