pane                                            
 Alfa = -23.00000 Re = 19899914.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00020  0.31986
   0.99795  0.00039  0.36061
   0.99200  0.00109  0.37347
   0.98231  0.00234  0.38614
   0.96892  0.00426  0.40092
   0.95201  0.00701  0.41146
   0.93169  0.01071  0.42341
   0.90822  0.01554  0.43074
   0.88218  0.02162  0.43183
   0.85390  0.02911  0.42388
   0.82415  0.03800  0.39769
   0.79373  0.04786  0.35639
   0.76334  0.05806  0.26568
   0.73355  0.06753  0.19689
   0.70381  0.07512  0.17295
   0.67272  0.08089  0.21693
   0.64030  0.08539  0.26808
   0.60675  0.08895  0.31706
   0.57224  0.09162  0.36885
   0.53709  0.09345  0.42194
   0.50158  0.09450  0.47518
   0.46586  0.09477  0.53101
   0.43009  0.09438  0.58505
   0.39450  0.09331  0.64041
   0.35943  0.09160  0.69519
   0.32495  0.08925  0.75126
   0.29134  0.08634  0.80527
   0.25879  0.08290  0.85737
   0.22749  0.07895  0.90637
   0.19759  0.07457  0.94903
   0.16929  0.06983  0.98184
   0.14267  0.06481  0.99909
   0.11792  0.05962  0.99137
   0.09513  0.05419  0.94155
   0.07444  0.04852  0.81825
   0.05604  0.04262  0.56578
   0.04004  0.03657  0.08167
   0.02652  0.03046 -0.88067
   0.01561  0.02424 -2.92806
   0.00752  0.01776 -7.47216
   0.00240  0.01068-15.07861
   0.00021  0.00328-22.51648
   0.00000  0.00000-29.67429
   0.00022 -0.00211-35.04507
   0.00228 -0.00692-42.38482
   0.00742 -0.01079-38.90319
   0.01594 -0.01445-36.20559
   0.02787 -0.01803-35.12073
   0.04298 -0.02148-34.28259
   0.06095 -0.02482-33.66021
   0.08165 -0.02803-33.24441
   0.10491 -0.03108-32.93112
   0.13056 -0.03393-32.67413
   0.15846 -0.03656-32.46091
   0.18839 -0.03896-32.28432
   0.22017 -0.04111-32.13437
   0.25356 -0.04297-32.00053
   0.28831 -0.04453-31.88279
   0.32415 -0.04578-31.77907
   0.36089 -0.04668-31.68244
   0.39836 -0.04717-31.58741
   0.43634 -0.04722-31.50191
   0.47450 -0.04682-31.50256
   0.51266 -0.04601-31.27839
   0.55059 -0.04475-31.25966
   0.58796 -0.04292-31.21061
   0.62451 -0.04047-31.17109
   0.65994 -0.03722-30.99977
   0.69413 -0.03288-30.99561
   0.72715 -0.02620-30.54883
   0.76214 -0.01803-29.95138
   0.79751 -0.01174-29.88783
   0.83156 -0.00702-30.06711
   0.86360 -0.00364-29.20836
   0.89285 -0.00153-29.18629
   0.91906 -0.00043-30.15394
   0.94172  0.00004-30.09486
   0.96070  0.00018-29.70841
   0.97600  0.00018-30.30121
   0.98761  0.00012-30.27814
   0.99551 -0.00002-30.23139
   1.00001 -0.00020-30.18571
