pane                                            
 Alfa = -25.00000 Re = 19899914.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00020  0.33776
   0.99795  0.00039  0.38019
   0.99200  0.00109  0.39381
   0.98231  0.00234  0.40851
   0.96892  0.00426  0.42431
   0.95201  0.00701  0.43689
   0.93169  0.01071  0.45053
   0.90822  0.01554  0.45966
   0.88218  0.02162  0.46308
   0.85390  0.02911  0.45809
   0.82415  0.03800  0.43629
   0.79373  0.04786  0.40085
   0.76334  0.05806  0.32175
   0.73355  0.06753  0.26151
   0.70381  0.07512  0.24485
   0.67272  0.08089  0.29079
   0.64030  0.08539  0.34291
   0.60675  0.08895  0.39299
   0.57224  0.09162  0.44531
   0.53709  0.09345  0.49857
   0.50158  0.09450  0.55168
   0.46586  0.09477  0.60658
   0.43009  0.09438  0.65957
   0.39450  0.09331  0.71306
   0.35943  0.09160  0.76524
   0.32495  0.08925  0.81731
   0.29134  0.08634  0.86631
   0.25879  0.08290  0.91164
   0.22749  0.07895  0.95139
   0.19759  0.07457  0.98193
   0.16929  0.06983  0.99866
   0.14267  0.06481  0.99430
   0.11792  0.05962  0.95660
   0.09513  0.05419  0.86404
   0.07444  0.04852  0.67760
   0.05604  0.04262  0.33073
   0.04004  0.03657 -0.29894
   0.02652  0.03046 -1.51005
   0.01561  0.02424 -4.02361
   0.00752  0.01776 -9.47629
   0.00240  0.01068-18.33843
   0.00021  0.00328-26.67765
   0.00000  0.00000-34.77658
   0.00022 -0.00211-40.83530
   0.00228 -0.00692-48.67775
   0.00742 -0.01079-35.81887
   0.01594 -0.01445-28.66032
   0.02787 -0.01803-25.02572
   0.04298 -0.02148-22.76648
   0.06095 -0.02482-21.23675
   0.08165 -0.02803-20.14309
   0.10491 -0.03108-19.32427
   0.13056 -0.03393-18.67344
   0.15846 -0.03656-18.14094
   0.18839 -0.03896-17.70536
   0.22017 -0.04111-17.33956
   0.25356 -0.04297-17.02064
   0.28831 -0.04453-16.74519
   0.32415 -0.04578-16.50405
   0.36089 -0.04668-16.29195
   0.39836 -0.04717-16.09272
   0.43634 -0.04722-15.93300
   0.47450 -0.04682-15.75943
   0.51266 -0.04601-15.59233
   0.55059 -0.04475-15.44988
   0.58796 -0.04292-15.27310
   0.62451 -0.04047-14.98952
   0.65994 -0.03722-14.77814
   0.69413 -0.03288-14.54053
   0.72715 -0.02620-14.16174
   0.76214 -0.01803-13.63551
   0.79751 -0.01174-13.46566
   0.83156 -0.00702-13.32105
   0.86360 -0.00364-13.20463
   0.89285 -0.00153-13.12951
   0.91906 -0.00043-13.08234
   0.94172  0.00004-13.04653
   0.96070  0.00018-13.00397
   0.97600  0.00018-12.94754
   0.98761  0.00012-12.87581
   0.99551 -0.00002-12.81631
   1.00001 -0.00020-12.81175
