pane                                            
 Alfa = -13.50000 Re = 19899914.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00020  0.25925
   0.99795  0.00039  0.29031
   0.99200  0.00109  0.29596
   0.98231  0.00234  0.29910
   0.96892  0.00426  0.30507
   0.95201  0.00701  0.30655
   0.93169  0.01071  0.30893
   0.90822  0.01554  0.30553
   0.88218  0.02162  0.29407
   0.85390  0.02911  0.27057
   0.82415  0.03800  0.22154
   0.79373  0.04786  0.14923
   0.76334  0.05806  0.00676
   0.73355  0.06753 -0.11561
   0.70381  0.07512 -0.17604
   0.67272  0.08089 -0.14802
   0.64030  0.08539 -0.10802
   0.60675  0.08895 -0.07160
   0.57224  0.09162 -0.03029
   0.53709  0.09345  0.01349
   0.50158  0.09450  0.05782
   0.46586  0.09477  0.10786
   0.43009  0.09438  0.15529
   0.39450  0.09331  0.20641
   0.35943  0.09160  0.25905
   0.32495  0.08925  0.31727
   0.29134  0.08634  0.37610
   0.25879  0.08290  0.43800
   0.22749  0.07895  0.50533
   0.19759  0.07457  0.57498
   0.16929  0.06983  0.64774
   0.14267  0.06481  0.72249
   0.11792  0.05962  0.79588
   0.09513  0.05419  0.87047
   0.07444  0.04852  0.93936
   0.05604  0.04262  0.98992
   0.04004  0.03657  0.99215
   0.02652  0.03046  0.87959
   0.01561  0.02424  0.46719
   0.00752  0.01776 -0.76866
   0.00240  0.01068 -3.49628
   0.00021  0.00328 -7.05493
   0.00000  0.00000-10.31733
   0.00022 -0.00211-12.93440
   0.00228 -0.00692-17.70443
   0.00742 -0.01079-15.19764
   0.01594 -0.01445-13.38193
   0.02787 -0.01803-12.55632
   0.04298 -0.02148-11.98117
   0.06095 -0.02482-11.60295
   0.08165 -0.02803-11.32773
   0.10491 -0.03108-11.11890
   0.13056 -0.03393-10.95267
   0.15846 -0.03656-10.81444
   0.18839 -0.03896-10.70158
   0.22017 -0.04111-10.60701
   0.25356 -0.04297-10.52385
   0.28831 -0.04453-10.45186
   0.32415 -0.04578-10.38979
   0.36089 -0.04668-10.33695
   0.39836 -0.04717-10.28554
   0.43634 -0.04722-10.23646
   0.47450 -0.04682-10.18863
   0.51266 -0.04601-10.14730
   0.55059 -0.04475-10.11585
   0.58796 -0.04292-10.07966
   0.62451 -0.04047-10.05095
   0.65994 -0.03722-10.01237
   0.69413 -0.03288 -9.99868
   0.72715 -0.02620 -9.78160
   0.76214 -0.01803 -9.50558
   0.79751 -0.01174 -9.43514
   0.83156 -0.00702 -9.37536
   0.86360 -0.00364 -9.32224
   0.89285 -0.00153 -9.29213
   0.91906 -0.00043 -9.29708
   0.94172  0.00004 -9.28569
   0.96070  0.00018 -9.28436
   0.97600  0.00018 -9.26129
   0.98761  0.00012 -9.23941
   0.99551 -0.00002 -9.21069
   1.00001 -0.00020 -9.22525
