x	z
1.0	0.0012599999999999777
0.99	0.002924499335506593
0.98	0.004571982973466893
0.97	0.006202797727195793
0.96	0.007817274001091435
0.9500000000000001	0.009415725725093492
0.9400000000000001	0.010998450286028952
0.93	0.012565728455661807
0.92	0.014117824315252228
0.91	0.015654985176414674
0.9	0.017177441498051817
0.89	0.018685406799123012
0.88	0.020179077566989112
0.87	0.02165863316105746
0.86	0.023124235711427094
0.85	0.024576030012215498
0.84	0.026014143409219995
0.8300000000000001	0.0274386856815432
0.8200000000000001	0.028849748916779907
0.81	0.030247407379333277
0.8	0.03163171737139167
0.79	0.03300271708605988
0.78	0.03436042645209755
0.77	0.03570484696966993
0.76	0.03703596153646709
0.75	0.03835373426349323
0.74	0.039658110279763986
0.73	0.0409490155250865
0.72	0.042226356530019195
0.71	0.04349002018203028
0.7000000000000001	0.04473987347678018
0.6900000000000001	0.045975763253355936
0.68	0.04719751591217265
0.67	0.04840493711413582
0.66	0.04959781145951829
0.65	0.05077590214485702
0.64	0.051938950596000004
0.63	0.05308667607524717
0.62	0.05421877526031307
0.61	0.05533492179260112
0.6	0.05643476579201118
0.59	0.05751793333519806
0.58	0.058584025893859644
0.5700000000000001	0.05963261972924647
0.56	0.060663265238648637
0.55	0.061675486249122134
0.54	0.06266877925315192
0.53	0.06364261258030979
0.52	0.06459642549823101
0.51	0.06552962723539567
0.5	0.06644159591723825
0.49	0.06733167740599999
0.48	0.06819918403346124
0.47000000000000003	0.06904339321421085
0.46	0.06986354592539351
0.45	0.07065884503687708
0.44	0.07142845347344884
0.43	0.07217149218791583
0.42	0.07288703792077095
0.41000000000000003	0.07357412071829543
0.4	0.07423172117647901
0.39	0.07485876737280239
0.38	0.075454131441556
0.37	0.07601662574073247
0.36	0.07654499854933333
0.35000000000000003	0.0770379292228032
0.34	0.07749402272077419
0.33	0.07791180340476177
0.32	0.07828970798312392
0.31	0.07862607745545401
0.3	0.07891914787730361
0.29	0.07916703972696071
0.28	0.07936663843994256
0.27	0.07951025861409595
0.26	0.07958894880780852
0.25	0.07959357908333334
0.24	0.07951481781187907
0.23	0.07934310407895946
0.22	0.07906861462482792
0.21	0.07868122393594332
0.2	0.07817045566902915
0.19	0.07752542298956688
0.18	0.07673475456634293
0.17	0.07578650176741966
0.16	0.07466802086933333
0.15	0.0733658215293389
0.14	0.07186536890065766
0.13	0.07015082078044883
0.12	0.06820467164806396
0.11	0.06600725979805774
0.1	0.06353606712157284
0.09	0.060764693766
0.08	0.057661301602895294
0.07	0.054186145604637956
0.06	0.05028744002393953
0.05	0.04589393826784792
0.04	0.040900326369333335
0.03	0.03513449128203198
0.02	0.028268043872780983
0.01	0.01946521225933333
0.0	0.0
0.01	-0.014608935682666666
0.02	-0.01892749871944765
0.03	-0.02166839955203198
0.04	-0.02365412406266667
0.05	-0.02519977538451459
0.06	-0.02646418056393953
0.07	-0.02753936756797129
0.08	-0.02848329698956196
0.09	-0.029334468576000007
0.1	-0.03011934135490618
0.11	-0.030856467454724416
0.12	-0.03155896072806395
0.13	-0.03223605328378218
0.14	-0.03289412082732433
0.15	-0.03353738287933892
0.16	-0.03416839564266667
0.17	-0.03478840796408633
0.18	-0.03539762418634293
0.19	-0.03599540203290022
0.2	-0.03658040413569584
0.21	-0.03715071582594333
0.22	-0.03770393793816124
0.23	-0.03823726081562612
0.24	-0.03874752397187907
0.25	-0.03923126466666666
0.26	-0.0396847578144752
0.27	-0.04010404904409594
0.28	-0.040484982293275906
0.29	-0.040823223003627396
0.3	-0.04111538491063696
0.31	-0.04136236824545403
0.32	-0.04156605252979059
0.33	-0.04172820170809512
0.34	-0.041850474780774194
0.35000000000000003	-0.041934435039469885
0.36	-0.04198155812266668
0.37	-0.04199323907073248
0.38	-0.041970798528222664
0.39	-0.04191548821613573
0.4	-0.04182849577647903
0.41000000000000003	-0.0417109490749621
0.42	-0.04156392003410428
0.43	-0.04138842805791582
0.44	-0.0411854431001155
0.45	-0.04095588842021042
0.46	-0.04070064306539352
0.47000000000000003	-0.04042054411087753
0.48	-0.04011638868679458
0.49	-0.039788935816
0.5	-0.03943890808390492
0.51	-0.039066993158729
0.52	-0.038673845178231026
0.53	-0.03826008601697647
0.54	-0.03782630644648526
0.55	-0.03737306719912214
0.56	-0.03690089994531531
0.5700000000000001	-0.036410308192579816
0.58	-0.03590176811385965
0.59	-0.03537572931186472
0.6	-0.034832615525344515
0.61	-0.034272825282601116
0.62	-0.033696732506979736
0.63	-0.03310468707858051
0.64	-0.032497015356000004
0.65	-0.03187402066152369
0.66	-0.031235983732851632
0.67	-0.030583163144135825
0.68	-0.02991579569883933
0.6900000000000001	-0.02923409679668928
0.7000000000000001	-0.028538260776780185
0.71	-0.027828461238696943
0.72	-0.027104851343352533
0.73	-0.0263675640950865
0.74	-0.025616712606430656
0.75	-0.024852390346826566
0.76	-0.0240746713764671
0.77	-0.023283610566336602
0.78	-0.022479243805430895
0.79	-0.021661588196059886
0.8	-0.02083064223805834
0.81	-0.019986386002666612
0.8200000000000001	-0.019128781296779914
0.8300000000000001	-0.018257771818209874
0.84	-0.017373283302553326
0.85	-0.016475223662215495
0.86	-0.015563483118093763
0.87	-0.014637934324390794
0.88	-0.013698432486989112
0.89	-0.01274481547578968
0.9	-0.011776903931385153
0.91	-0.010794501366414678
0.92	-0.009797394261918897
0.93	-0.008785352158995145
0.9400000000000001	-0.007758127746028956
0.9500000000000001	-0.006715456941760162
0.96	-0.005657058974424766
0.97	-0.004582636457195791
0.98	-0.003491875460133558
0.99	-0.002384445578839926
